epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0,0.072905,0.017396,0,0.60405,0.49064,0.50138,0.24191,0.047876,0.014398,0,0.0033279,0.0033279,0.070049
1,0.052047,0.01348,0,0.64866,0.53779,0.5751,0.33452,0.044749,0.012409,0,0.0066597,0.0066597,0.040047
2,0.051459,0.01371,0,0.53697,0.45765,0.45423,0.24942,0.048336,0.014311,0,0.0099857,0.0099857,0.01004
3,0.048876,0.013376,0,0.64558,0.5187,0.55866,0.33444,0.042113,0.012297,0,0.00998,0.00998,0.00998
4,0.044896,0.012826,0,0.66257,0.5189,0.56546,0.35073,0.039441,0.012051,0,0.00998,0.00998,0.00998
5,0.042946,0.012183,0,0.66605,0.55832,0.59436,0.3739,0.037041,0.011554,0,0.0099645,0.0099645,0.0099645
6,0.040769,0.011943,0,0.66871,0.56964,0.6146,0.39445,0.035946,0.011286,0,0.0099446,0.0099446,0.0099446
7,0.039534,0.011581,0,0.65674,0.59599,0.62037,0.39119,0.035889,0.010947,0,0.0099203,0.0099203,0.0099203
8,0.039122,0.011609,0,0.6553,0.59531,0.62539,0.40575,0.034985,0.010998,0,0.0098916,0.0098916,0.0098916
9,0.037893,0.011233,0,0.6532,0.59915,0.62975,0.41157,0.034544,0.01076,0,0.0098586,0.0098586,0.0098586
10,0.038445,0.011323,0,0.67522,0.58864,0.63101,0.40871,0.03478,0.010886,0,0.0098213,0.0098213,0.0098213
11,0.036754,0.011231,0,0.68512,0.60477,0.65131,0.43232,0.033301,0.010461,0,0.0097798,0.0097798,0.0097798
12,0.036393,0.010975,0,0.69547,0.61047,0.65761,0.43395,0.033441,0.010428,0,0.009734,0.009734,0.009734
13,0.035453,0.010828,0,0.68538,0.62988,0.66736,0.45212,0.031934,0.010079,0,0.009684,0.009684,0.009684
14,0.035203,0.010548,0,0.64318,0.6505,0.65317,0.4399,0.032022,0.010432,0,0.0096299,0.0096299,0.0096299
15,0.034538,0.010619,0,0.68362,0.58035,0.64417,0.43882,0.031699,0.010597,0,0.0095717,0.0095717,0.0095717
